r.status,n.name
alcohol and friends with hot babes,Rishav
i want to fix a get together with my family,Rishav
this was the best date I had thankyou...,Rishav
i need rest and sleep,Rishav
went for dinner with my brother with a movie,Rishav
i am tired,Rishav
party at its best gives relaxation,Rishav
this new car interests me,Rishav
want to buy new clothes,Rishav
want to gift my date,Rishav
"i am fine, just wanted to see a movie",Rishav
i want to get high,Rishav
"i am fine, just wanted to see a movie",Pinkesh
i just wanted to go to a decent college,Pinkesh
plan a dinner with mom,Pinkesh
i have to do shopping with mom,Pinkesh
fuck the world.. I want to smoke,Pinkesh
I miss my friends so much,Pinkesh
just suggest me a movie which I can watch with my family,Pinkesh
this dress is great can i get one?,pankulgarg
i am alcoholic and I like to drink and smoke,pankulgarg
i am alcoholic and I like to drink,pankulgarg
my life is about gamies and fun,pankulgarg
Search for nearby colleges and schools,sachin
Teaching in schools is a good job,sachin
i want to go to school,sachin
i am tired,Jay
want to gift my date,Jay
Search for nearby colleges and schools,Jay
"My Thursdays no longer feel like Thursdays to me and my Wednesdays stopped being Wednesdays to me since the last November, the day when Naruto manga ended. I beg to differ that Chinese Water Torture is the world’s deadliest torture. Naruto’s unrelated fillers are more excruciating than it. Date Hayato, I swear on my craze for Naruto, if you don’t stop with this filler shit, I will find you and I will kill you. Though it’s been 4 months only but, it feels like a millennium has passed without Naruto. It’s becoming really hard to survive every day just by watching AMVs. Bring back Naruto Canon episode.",Virat-Sardana
I am great at studies.. I want to be a teacher at a school or college,Virat-Sardana
went for dinner with my brother with a movie,Nitish
party at its best gives relaxation,Nitish
this new car interests me,Nitish
want to buy new clothes,Nitish
"i am fine, just wanted to see a movie",Nitish
